1st Serve Tennis (Europe) (Unl);1st Serve Tennis (Europe) (Unl);Atari ST;;19xx;John Leaver;Sports/Tennis;;;;;0;;;;;
ultennisj;Ultimate Tennis (v 1.4, Japan);MAME (Libretro);ultennis;1993;Art & Magic (Banpresto license);Sports / Tennis;;;;;0;;;;;
ultennisj;Ultimate Tennis (v 1.4, Japan);MAME (Mame4all);ultennis;1993;Art & Magic (Banpresto license);Sports / Tennis;;;;;0;;;;;
ultennis;Ultimate Tennis;Arcade;;1993;Art & Magic;Sports / Tennis;;;;;0;;;;;
ultennis;Ultimate Tennis;Final Burn Alpha;;1993;Art & Magic;Sports / Tennis;;;;;0;;;;;
ultennis;Ultimate Tennis;MAME (Advance);;1993;Art & Magic;Sports / Tennis;;;;;0;;;;;
ultennis;Ultimate Tennis;MAME (Libretro);;1993;Art & Magic;Sports / Tennis;;;;;0;;;;;
ultennis;Ultimate Tennis;MAME (Mame4all);;1993;Art & Magic;Sports / Tennis;;;;;0;;;;;
Virtua Tennis (USA);Virtua Tennis (USA);Nintendo Game Boy Advance;;2002;THQ;Sports/Tennis;;;;;0;;;;;
Virtua Tennis (USA);Virtua Tennis (USA);Sega Dreamcast;;2000;Sega;Sports/Tennis;;;;;0;;;;;
vstennisa;Vs. Tennis (Japan/USA, set 2);Arcade;vstennis;1984;Nintendo Co., Ltd.;Sports / Tennis;;;;;0;;;;;
vstennisa;Vs. Tennis (Japan/USA, set 2);Arcade;vstennis;1984;Nintendo Co., Ltd.;Sports/Tennis;;;;;0;;;;;
vstennisa;Vs. Tennis (Japan/USA, set 2);Final Burn Alpha;vstennis;1984;Nintendo Co., Ltd.;Sports/Tennis;;;;;0;;;;;
vstennisa;Vs. Tennis (Japan/USA, set 2);MAME (Advance);vstennis;1984;Nintendo Co., Ltd.;Sports / Tennis;;;;;0;;;;;
vstennisa;Vs. Tennis (Japan/USA, set 2);MAME (Advance);vstennis;1984;Nintendo Co., Ltd.;Sports/Tennis;;;;;0;;;;;
vstennisa;Vs. Tennis (Japan/USA, set 2);MAME (Libretro);vstennis;1984;Nintendo Co., Ltd.;Sports / Tennis;;;;;0;;;;;
vstennisa;Vs. Tennis (Japan/USA, set 2);MAME (Libretro);vstennis;1984;Nintendo Co., Ltd.;Sports/Tennis;;;;;0;;;;;
vstennisa;Vs. Tennis (Japan/USA, set 2);MAME (Mame4all);vstennis;1984;Nintendo Co., Ltd.;Sports / Tennis;;;;;0;;;;;
vstennisa;Vs. Tennis (Japan/USA, set 2);MAME (Mame4all);vstennis;1984;Nintendo Co., Ltd.;Sports/Tennis;;;;;0;;;;;
vstennisb;Vs. Tennis (Japan/USA, set 3);Arcade;vstennis;1984;Nintendo Co., Ltd.;Sports / Tennis;;;;;0;;;;;
vstennisb;Vs. Tennis (Japan/USA, set 3);Arcade;vstennis;1984;Nintendo Co., Ltd.;Sports/Tennis;;;;;0;;;;;
vstennisb;Vs. Tennis (Japan/USA, set 3);Final Burn Alpha;vstennis;1984;Nintendo Co., Ltd.;Sports/Tennis;;;;;0;;;;;
vstennisb;Vs. Tennis (Japan/USA, set 3);MAME (Advance);vstennis;1984;Nintendo Co., Ltd.;Sports / Tennis;;;;;0;;;;;
vstennisb;Vs. Tennis (Japan/USA, set 3);MAME (Advance);vstennis;1984;Nintendo Co., Ltd.;Sports/Tennis;;;;;0;;;;;
vstennisb;Vs. Tennis (Japan/USA, set 3);MAME (Libretro);vstennis;1984;Nintendo Co., Ltd.;Sports / Tennis;;;;;0;;;;;
vstennisb;Vs. Tennis (Japan/USA, set 3);MAME (Libretro);vstennis;1984;Nintendo Co., Ltd.;Sports/Tennis;;;;;0;;;;;
vstennisb;Vs. Tennis (Japan/USA, set 3);MAME (Mame4all);vstennis;1984;Nintendo Co., Ltd.;Sports / Tennis;;;;;0;;;;;
vstennisb;Vs. Tennis (Japan/USA, set 3);MAME (Mame4all);vstennis;1984;Nintendo Co., Ltd.;Sports/Tennis;;;;;0;;;;;
vstennis;Vs. Tennis (Japan/USA, set TE A-3);Arcade;;1984;Nintendo Co., Ltd.;Sports / Tennis;;;;;0;;;;;
vstennis;Vs. Tennis (Japan/USA, set TE A-3);Arcade;;1984;Nintendo Co., Ltd.;Sports/Tennis;;;;;0;;;;;
vstennis;Vs. Tennis (Japan/USA, set TE A-3);Final Burn Alpha;;1984;Nintendo Co., Ltd.;Sports/Tennis;;;;;0;;;;;
vstennis;Vs. Tennis (Japan/USA, set TE A-3);MAME (Advance);;1984;Nintendo Co., Ltd.;Sports / Tennis;;;;;0;;;;;
vstennis;Vs. Tennis (Japan/USA, set TE A-3);MAME (Advance);;1984;Nintendo Co., Ltd.;Sports/Tennis;;;;;0;;;;;
vstennis;Vs. Tennis (Japan/USA, set TE A-3);MAME (Libretro);;1984;Nintendo Co., Ltd.;Sports / Tennis;;;;;0;;;;;
vstennis;Vs. Tennis (Japan/USA, set TE A-3);MAME (Libretro);;1984;Nintendo Co., Ltd.;Sports/Tennis;;;;;0;;;;;
vstennis;Vs. Tennis (Japan/USA, set TE A-3);MAME (Mame4all);;1984;Nintendo Co., Ltd.;Sports / Tennis;;;;;0;;;;;
vstennis;Vs. Tennis (Japan/USA, set TE A-3);MAME (Mame4all);;1984;Nintendo Co., Ltd.;Sports/Tennis;;;;;0;;;;;
V-Tennis (USA);V-Tennis (USA);Sony PlayStation;;1996;Acclaim;Sports/Tennis;;;;;0;;;;;
V-Tennis (USA);V-Tennis (USA);Sony PSP;;1996;Acclaim;Sports/Tennis;;;;;0;;;;;
VT Tennis (USA);VT Tennis;Sony PSP Minis;;2010;Virtual Toys;Sports;;;;;0;;;;;
wctennis;World Court Tennis;Final Burn Alpha;;1989;NEC;;;;;;0;;;;;
wimbledj;Wimbledon Championship Tennis (Jpn);Final Burn Alpha;wimbled;1994;Sega;;;;;;0;;;;;
Wimbledon '64 (Europe);Wimbledon '64 (Europe);Commodore 64;;1984;Merlin Software;Sports/Tennis;;;;;0;;;;;
Wimbledon Championship Tennis (USA);Wimbledon Championship Tennis (USA);Sega Genesis;;1993;Sims;Sports/Tennis;;;;;0;;;;;
Wimbledon (Europe);Wimbledon (Europe);Sega Master System;;1992;Sega;Sports/Tennis;;;;;0;;;;;
Wimbledon (Europe);Wimbledon (Europe);Sinclair ZX Spectrum;;1985;T.J. Adcock;Sports/Tennis;;;;;0;;;;;
Wimbledon II (Europe);Wimbledon II (Europe);Sega Master System;;1993;Sega;Sports/Tennis;;;;;0;;;;;
Wimbledon (World);Wimbledon (World);Sega Game Gear;;1993;Sega;Sports/Tennis;;;;;0;;;;;
wimbledup;Wimbledon Championship Tennis (USA, Prototype);Final Burn Alpha;wimbled;1993;Sega;;;;;;0;;;;;
wimbledu;Wimbledon Championship Tennis (USA);Final Burn Alpha;wimbled;1993;Sega;;;;;;0;;;;;
wimbled;Wimbledon Championship Tennis (Euro);Final Burn Alpha;;1994;Sega;;;;;;0;;;;;
wldcourt;World Court (Japan);Arcade;;1988;Namco;Sports / Tennis;;;;;0;;;;;
wldcourt;World Court (Japan);MAME (Advance);;1988;Namco;Sports / Tennis;;;;;0;;;;;
wldcourt;World Court (Japan);MAME (Libretro);;1988;Namco;Sports / Tennis;;;;;0;;;;;
wldcourt;World Court (Japan);MAME (Mame4all);;1988;Namco;Sports / Tennis;;;;;0;;;;;
World Court Tennis (USA);World Court Tennis (USA);NEC TurboGrafx-16;;1989;NEC;Sports/Tennis;;;;;0;;;;;
World Tennis Stars (Europe);World Tennis Stars (Europe);Sony PlayStation;;2004;Ignition Entertainment;Sports/Tennis;;;;;0;;;;;
World Tennis Stars (Europe);World Tennis Stars (Europe);Sony PSP;;2004;Ignition Entertainment;Sports/Tennis;;;;;0;;;;;
World Tennis Stars (USA);World Tennis Stars (USA);Nintendo Game Boy Advance;;2004;Ignition Entertainment;Sports/Tennis;;;;;0;;;;;
WTA Tour Tennis (USA);WTA Tour Tennis (USA);Nintendo Game Boy Advance;;2002;Konami;Sports/Tennis;;;;;0;;;;;
wtennis;World Tennis;Arcade;;1982;bootleg;Sports / Tennis;;;;;0;;;;;
wtennis;World Tennis;Final Burn Alpha;;1982;bootleg;Sports / Tennis;;;;;0;;;;;
wtennis;World Tennis;MAME (Advance);;1982;bootleg;Sports / Tennis;;;;;0;;;;;
wtennis;World Tennis;MAME (Libretro);;1982;bootleg;Sports / Tennis;;;;;0;;;;;
wtennis;World Tennis;MAME (Mame4all);;1982;bootleg;Sports / Tennis;;;;;0;;;;;
Yeh Yeh Tennis (Europe);Yeh Yeh Tennis (Europe);Sony PlayStation;;2000;SunSoft;Sports/Tennis;;;;;0;;;;;
Yeh Yeh Tennis (Europe);Yeh Yeh Tennis (Europe);Sony PSP;;2000;SunSoft;Sports/Tennis;;;;;0;;;;;
