#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons
Rush (Europe) (Unl);Rush (Europe) (Unl);Atari ST;;19xx;Mikael Lundberg;Puzzle;;;;;0;;;;;
Rush II (Europe) (Unl);Rush II (Europe) (Unl);Atari ST;;19xx;Mikael Lundberg;Puzzle;;;;;0;;;;;
ryukyu;RyuKyu (Japan, FD1094 317-5023);Arcade;;1990;Success / Sega;Puzzle / Cards;;;;;0;;;;;
ryukyu;RyuKyu (Japan, FD1094 317-5023);MAME (Advance);;1990;Success / Sega;Puzzle / Cards;;;;;0;;;;;
ryukyu;RyuKyu (Japan, FD1094 317-5023);MAME (Libretro);;1990;Success / Sega;Puzzle / Cards;;;;;0;;;;;
ryukyu;RyuKyu (Japan, FD1094 317-5023);MAME (Mame4all);;1990;Success / Sega;Puzzle / Cards;;;;;0;;;;;
Ryuukyuu (Japan);Ryuukyuu (Japan);NEC PC Engine;;1990;Sankindo;Puzzle;;;;;0;;;;;
sadari;Sadari;Arcade;;1993;Dooyong (NTC license);Puzzle / Drop * Mature *;;;;;0;;;;;
sadari;Sadari;Final Burn Alpha;;1993;Dooyong (NTC license);Puzzle / Drop * Mature *;;;;;0;;;;;
sadari;Sadari;MAME (Advance);;1993;Dooyong (NTC license);Puzzle / Drop * Mature *;;;;;0;;;;;
sadari;Sadari;MAME (Libretro);;1993;Dooyong (NTC license);Puzzle / Drop * Mature *;;;;;0;;;;;
sadari;Sadari;MAME (Mame4all);;1993;Dooyong (NTC license);Puzzle / Drop * Mature *;;;;;0;;;;;
Safe-Cracker (Europe);Safe-Cracker (Europe);Commodore 64;;1987;Wicked Software;Puzzle;;;;;0;;;;;
Safecracker - The Ultimate Puzzle Challenge! (USA) (En,Fr,Es);Safecracker - The Ultimate Puzzle Challenge!;Nintendo DS;;;;;;;;;0;;;;;
Same Game (Japan);Same Game (Japan);Nintendo Game Boy;;1997;Hudson;Puzzle;;;;;0;;;;;
Same Game (Japan);Same Game (Japan);Nintendo Super Famicom;;1996;Hudson;Puzzle;;;;;0;;;;;
sandor;Puzzle & Action: Sando-R (J 951114 V1.000);Arcade;;1995;Sega;Mini-Games;;;;;0;;;;;
sandor;Puzzle & Action Sando-R (J 951114 V1.000);Arcade;;1995;Sega;Multiplay / Mini-Games;;;;;0;;;;;
sandor;Puzzle & Action: Sando-R (J 951114 V1.000);Final Burn Alpha;;1995;Sega;Mini-Games;;;;;0;;;;;
sandor;Puzzle & Action: Sando-R (J 951114 V1.000);MAME (Advance);;1995;Sega;Mini-Games;;;;;0;;;;;
sandor;Puzzle & Action Sando-R (J 951114 V1.000);MAME (Advance);;1995;Sega;Multiplay / Mini-Games;;;;;0;;;;;
sandor;Puzzle & Action: Sando-R (J 951114 V1.000);MAME (Libretro);;1995;Sega;Mini-Games;;;;;0;;;;;
sandor;Puzzle & Action Sando-R (J 951114 V1.000);MAME (Libretro);;1995;Sega;Multiplay / Mini-Games;;;;;0;;;;;
sandor;Puzzle & Action: Sando-R (J 951114 V1.000);MAME (Mame4all);;1995;Sega;Mini-Games;;;;;0;;;;;
sandor;Puzzle & Action Sando-R (J 951114 V1.000);MAME (Mame4all);;1995;Sega;Multiplay / Mini-Games;;;;;0;;;;;
San-nin Mahjong (Japan);San-nin Mahjong (Japan);Sega SG-1000;;1984;Tsukuda Original;Puzzle;;;;;0;;;;;
Sanrio Carnival 2 (Japan);Sanrio Carnival 2 (Japan);Nintendo Game Boy;;1993;Character Soft;Puzzle;;;;;0;;;;;
Sanrio Carnival 2 (Japan) (Translated En);Sanrio Carnival 2 (Japan) (Translated En);Nintendo Famicom;;1993;Character Soft;Puzzle;;;;;0;;;;;
Sanrio Carnival (Japan) (Translated En);Sanrio Carnival (Japan) (Translated En);Nintendo Game Boy;;1991;Character Soft;Puzzle;;;;;0;;;;;
Sanrio Shanghai (Japan);Sanrio Shanghai (Japan);Nintendo Super Famicom;;1994;SAS Sakata;Puzzle;;;;;0;;;;;
Sarakon (Germany);Sarakon (Germany);Atari ST;;1991;Starbyte;Puzzle;;;;;0;;;;;
Sarakon (Germany);Sarakon (Germany);Commodore 64;;1990;Starbyte Software;Puzzle;;;;;0;;;;;
Say Simon (USA);Say Simon (USA);Commodore 64;;1984;South Pacific Software (Southpac);Puzzle;;;;;0;;;;;
Sblock - Sliding-Block Puzzles (Europe);Sblock - Sliding-Block Puzzles (Europe);Commodore 64;;1985;Panda;Puzzle;;;;;0;;;;;
Schere Stein Papier (Europe);Schere Stein Papier (Europe);Commodore 64;;1992;CP Verlag/Magic Disk 64;Puzzle;;;;;0;;;;;
Scrambit Mania (USA);Scrambit Mania (USA);Commodore 64;;1984;Micro-Ed, Inc.;Puzzle;;;;;0;;;;;
Scruples (Europe);Scruples (Europe);Commodore 64;;1987;Leisure Genius;Puzzle;;;;;0;;;;;
Scumm (Europe);Scumm (Europe);Commodore 64;;1991;CP Verlag/Game On;Puzzle;;;;;0;;;;;
SD Gundam - Power Formation Puzzle (Japan);SD Gundam - Power Formation Puzzle (Japan);Nintendo Super Famicom;;1996;Tom Create;Puzzle;;;;;0;;;;;
SD Lupin Sansei - Kinko Yaburi Daisakusen (Japan);SD Lupin Sansei - Kinko Yaburi Daisakusen (Japan);Nintendo Game Boy;;1990;Banpresto;Puzzle;;;;;0;;;;;
searcheya;Search Eye (English / Korean);Arcade;searchey;1999;Yun Sung;Puzzle / Misc.;;;;;0;;;;;
searcheya;Search Eye (English / Korean);Final Burn Alpha;searchey;1999;Yun Sung;Puzzle / Misc.;;;;;0;;;;;
searcheya;Search Eye (English / Korean);MAME (Advance);searchey;1999;Yun Sung;Puzzle / Misc.;;;;;0;;;;;
searcheya;Search Eye (English / Korean);MAME (Libretro);searchey;1999;Yun Sung;Puzzle / Misc.;;;;;0;;;;;
searcheya;Search Eye (English / Korean);MAME (Mame4all);searchey;1999;Yun Sung;Puzzle / Misc.;;;;;0;;;;;
searchey;Search Eye (English / Korean / Japanese / Italian);Arcade;;1999;Yun Sung;Puzzle / Misc.;;;;;0;;;;;
searchey;Search Eye (English / Korean / Japanese / Italian);Final Burn Alpha;;1999;Yun Sung;Puzzle / Misc.;;;;;0;;;;;
searchey;Search Eye (English / Korean / Japanese / Italian);MAME (Advance);;1999;Yun Sung;Puzzle / Misc.;;;;;0;;;;;
searchey;Search Eye (English / Korean / Japanese / Italian);MAME (Libretro);;1999;Yun Sung;Puzzle / Misc.;;;;;0;;;;;
searchey;Search Eye (English / Korean / Japanese / Italian);MAME (Mame4all);;1999;Yun Sung;Puzzle / Misc.;;;;;0;;;;;
searchp2;Search Eye Plus V2.0;Arcade;;1999;Yun Sung;Puzzle / Misc.;;;;;0;;;;;
searchp2;Search Eye Plus V2.0;Final Burn Alpha;;1999;Yun Sung;Puzzle / Misc.;;;;;0;;;;;
searchp2;Search Eye Plus V2.0;MAME (Advance);;1999;Yun Sung;Puzzle / Misc.;;;;;0;;;;;
searchp2;Search Eye Plus V2.0;MAME (Libretro);;1999;Yun Sung;Puzzle / Misc.;;;;;0;;;;;
searchp2;Search Eye Plus V2.0;MAME (Mame4all);;1999;Yun Sung;Puzzle / Misc.;;;;;0;;;;;
Sega Tetris (Japan);Sega Tetris (Japan);Sega Dreamcast;;2000;Sega;Puzzle;;;;;0;;;;;
Segregation (USA);Segregation (USA);Commodore 64;;1990;Remsoft Systems;Puzzle;;;;;0;;;;;
senknow;Sen-Know (Japan);Arcade;;1999;Kaneko / Kouyousha;Puzzle / Drop;;;;;0;;;;;
senknow;Sen-Know (Japan);Final Burn Alpha;;1999;Kaneko / Kouyousha;Puzzle / Drop;;;;;0;;;;;
senknow;Sen-Know (Japan);MAME (Advance);;1999;Kaneko / Kouyousha;Puzzle / Drop;;;;;0;;;;;
senknow;Sen-Know (Japan);MAME (Libretro);;1999;Kaneko / Kouyousha;Puzzle / Drop;;;;;0;;;;;
senknow;Sen-Know (Japan);MAME (Mame4all);;1999;Kaneko / Kouyousha;Puzzle / Drop;;;;;0;;;;;
senkyua;Senkyu (Japan set 2);Arcade;senkyu;1995;Seibu Kaihatsu;Puzzle / Drop;;;;;0;;;;;
senkyua;Senkyu (Japan set 2);Final Burn Alpha;senkyu;1995;Seibu Kaihatsu;Puzzle / Drop;;;;;0;;;;;
senkyua;Senkyu (Japan set 2);MAME (Advance);senkyu;1995;Seibu Kaihatsu;Puzzle / Drop;;;;;0;;;;;
senkyua;Senkyu (Japan set 2);MAME (Libretro);senkyu;1995;Seibu Kaihatsu;Puzzle / Drop;;;;;0;;;;;
senkyua;Senkyu (Japan set 2);MAME (Mame4all);senkyu;1995;Seibu Kaihatsu;Puzzle / Drop;;;;;0;;;;;
senkyu;Senkyu (Japan set 1);Arcade;;1995;Seibu Kaihatsu;Puzzle / Drop;;;;;0;;;;;
senkyu;Senkyu (Japan set 1);Final Burn Alpha;;1995;Seibu Kaihatsu;Puzzle / Drop;;;;;0;;;;;
senkyu;Senkyu (Japan set 1);MAME (Advance);;1995;Seibu Kaihatsu;Puzzle / Drop;;;;;0;;;;;
senkyu;Senkyu (Japan set 1);MAME (Libretro);;1995;Seibu Kaihatsu;Puzzle / Drop;;;;;0;;;;;
senkyu;Senkyu (Japan set 1);MAME (Mame4all);;1995;Seibu Kaihatsu;Puzzle / Drop;;;;;0;;;;;
Sennou Millennium (Japan);Sennou Millennium (Japan);Bandai WonderSwan;;2000;Bandai;Puzzle;;;;;0;;;;;
Sensitive (USA);Sensitive (USA);Commodore 64;;199x;Unknown;Puzzle;;;;;0;;;;;
Sensor (Europe);Sensor (Europe);Commodore 64;;1991;CP Verlag/Game On;Puzzle;;;;;0;;;;;
Sentinel, The (Europe);Sentinel, The (Europe);Atari ST;;1987;Firebird;Puzzle;;;;;0;;;;;
Sentinel, The (Europe);Sentinel, The (Europe);Sinclair ZX Spectrum;;1987;Firebird Software;Puzzle;;;;;0;;;;;
September (Europe);September (Europe);Commodore 64;;1988;Electric Dreams Software;Puzzle;;;;;0;;;;;
Sequel (Germany);Sequel (Germany);Commodore 64;;1992;Markt & Technik/64'er;Puzzle;;;;;0;;;;;
Serizawa Hachidan no Tsumeshogi (Japan);Serizawa Hachidan no Tsumeshogi (Japan);Sega SG-1000;;1983;Coreland;Puzzle;;;;;0;;;;;
Sesame Street - Numbers (USA);Sesame Street - Numbers (USA);Panasonic 3DO;;1994;Electronic Arts;Puzzle;;;;;0;;;;;
Session , The (USA) (Unl);Session , The (USA) (Unl);Commodore 64;;1992;More.Gore Software;Puzzle;;;;;0;;;;;
Session v1.4, The (USA) (Unl);Session v1.4, The (USA) (Unl);Commodore 64;;2001;More.Gore Software;Puzzle;;;;;0;;;;;
sexyboom;Sexy Boom;Arcade;;1992;Sang Ho Soft;Puzzle / Sliding * Mature *;;;;;0;;;;;
sexyboom;Sexy Boom;Final Burn Alpha;;1992;Sang Ho Soft;Puzzle / Sliding * Mature *;;;;;0;;;;;
sexyboom;Sexy Boom;MAME (Advance);;1992;Sang Ho Soft;Puzzle / Sliding * Mature *;;;;;0;;;;;
sexyboom;Sexy Boom;MAME (Libretro);;1992;Sang Ho Soft;Puzzle / Sliding * Mature *;;;;;0;;;;;
sexyboom;Sexy Boom;MAME (Mame4all);;1992;Sang Ho Soft;Puzzle / Sliding * Mature *;;;;;0;;;;;
shangha2a;Shanghai II (Japan, set 2);Arcade;shangha2;1989;Sunsoft;Puzzle / Match;;;;;0;;;;;
shangha2a;Shanghai II (Japan, set 2);Final Burn Alpha;shangha2;1989;Sunsoft;Puzzle / Match;;;;;0;;;;;
shangha2a;Shanghai II (Japan, set 2);MAME (Advance);shangha2;1989;Sunsoft;Puzzle / Match;;;;;0;;;;;
shangha2a;Shanghai II (Japan, set 2);MAME (Libretro);shangha2;1989;Sunsoft;Puzzle / Match;;;;;0;;;;;
shangha2a;Shanghai II (Japan, set 2);MAME (Mame4all);shangha2;1989;Sunsoft;Puzzle / Match;;;;;0;;;;;
shangha2;Shanghai II (Japan, set 1);Arcade;;1989;Sunsoft;Puzzle / Match;;;;;0;;;;;
shangha2;Shanghai II (Japan, set 1);Final Burn Alpha;;1989;Sunsoft;Puzzle / Match;;;;;0;;;;;
shangha2;Shanghai II (Japan, set 1);MAME (Advance);;1989;Sunsoft;Puzzle / Match;;;;;0;;;;;
shangha2;Shanghai II (Japan, set 1);MAME (Libretro);;1989;Sunsoft;Puzzle / Match;;;;;0;;;;;
shangha2;Shanghai II (Japan, set 1);MAME (Mame4all);;1989;Sunsoft;Puzzle / Match;;;;;0;;;;;
shangha3j;Shanghai III (Japan);Arcade;shangha3;1993;Sunsoft;Puzzle / Match;;;;;0;;;;;
shangha3j;Shanghai III (Japan);Final Burn Alpha;shangha3;1993;Sunsoft;Puzzle / Match;;;;;0;;;;;
shangha3j;Shanghai III (Japan);MAME (Advance);shangha3;1993;Sunsoft;Puzzle / Match;;;;;0;;;;;
shangha3j;Shanghai III (Japan);MAME (Libretro);shangha3;1993;Sunsoft;Puzzle / Match;;;;;0;;;;;
shangha3j;Shanghai III (Japan);MAME (Mame4all);shangha3;1993;Sunsoft;Puzzle / Match;;;;;0;;;;;
shangha3;Shanghai III (World);Arcade;;1993;Sunsoft;Puzzle / Match;;;;;0;;;;;
shangha3;Shanghai III (World);Final Burn Alpha;;1993;Sunsoft;Puzzle / Match;;;;;0;;;;;
shangha3;Shanghai III (World);MAME (Advance);;1993;Sunsoft;Puzzle / Match;;;;;0;;;;;
shangha3;Shanghai III (World);MAME (Libretro);;1993;Sunsoft;Puzzle / Match;;;;;0;;;;;
shangha3;Shanghai III (World);MAME (Mame4all);;1993;Sunsoft;Puzzle / Match;;;;;0;;;;;
shangha3u;Shanghai III (US);Arcade;shangha3;1993;Sunsoft;Puzzle / Match;;;;;0;;;;;
shangha3u;Shanghai III (US);Final Burn Alpha;shangha3;1993;Sunsoft;Puzzle / Match;;;;;0;;;;;
shangha3u;Shanghai III (US);MAME (Advance);shangha3;1993;Sunsoft;Puzzle / Match;;;;;0;;;;;
shangha3u;Shanghai III (US);MAME (Libretro);shangha3;1993;Sunsoft;Puzzle / Match;;;;;0;;;;;
shangha3u;Shanghai III (US);MAME (Mame4all);shangha3;1993;Sunsoft;Puzzle / Match;;;;;0;;;;;
Shanghai - Banri no Choujou (Japan);Shanghai - Banri no Choujou (Japan);Nintendo Super Famicom;;1995;Kuusou Kagaku;Puzzle;;;;;0;;;;;
Shanghai II - Dragon's Eye (USA);Shanghai II - Dragon's Eye (USA);Sega Genesis;;1994;Activision;Puzzle;;;;;0;;;;;
Shanghai II - Dragon's Eye (USA);Shanghai II - Dragon's Eye (USA);Super Nintendo Entertainment System;;1993;Activision;Puzzle;;;;;0;;;;;
Shanghai III - Dragon's Eye (Japan);Shanghai III Dragon's Eye (Japan);NEC PC Engine-CD;;1992;ASK Kodansha;Puzzle;;;;;0;;;;;
Shanghai III (Japan);Shanghai III (Japan);Nintendo Super Famicom;;1994;Kuusou Kagaku;Puzzle;;;;;0;;;;;
Shanghai II (Japan);Shanghai II (Japan);NEC PC Engine-CD;;1990;Hudson;Puzzle;;;;;0;;;;;
Shanghai II (Japan);Shanghai II (Japan);Sega Game Gear;;1994;SunSoft;Puzzle;;;;;0;;;;;
Shanghai (Japan) (Translated En);Shanghai (Japan) (Translated En);NEC PC Engine;;1987;Hudson;Puzzle;;;;;0;;;;;
shanghaij;Shanghai (Japan);Arcade;shanghai;1988;Sunsoft;Puzzle / Match;;;;;0;;;;;
shanghaij;Shanghai (Japan);Final Burn Alpha;shanghai;1988;Sunsoft;Puzzle / Match;;;;;0;;;;;
shanghaij;Shanghai (Japan);MAME (Advance);shanghai;1988;Sunsoft;Puzzle / Match;;;;;0;;;;;
shanghaij;Shanghai (Japan);MAME (Libretro);shanghai;1988;Sunsoft;Puzzle / Match;;;;;0;;;;;
shanghaij;Shanghai (Japan);MAME (Mame4all);shanghai;1988;Sunsoft;Puzzle / Match;;;;;0;;;;;
Shanghai Mini (World) (En,Ja);Shanghai Mini (World) (En,Ja);SNK Neo Geo Pocket Color;;2000;SNK;Puzzle;;;;;0;;;;;
Shanghai Pocket (Japan);Shanghai Pocket (Japan);Bandai WonderSwan;;1999;SunSoft;Puzzle;;;;;0;;;;;
Shanghai Pocket (Japan);Shanghai Pocket (Japan);Nintendo Game Boy;;1998;SunSoft;Puzzle;;;;;0;;;;;
shanghai;Shanghai (World);Arcade;;1988;Sunsoft;Puzzle / Match;;;;;0;;;;;
shanghai;Shanghai (World);Final Burn Alpha;;1988;Sunsoft;Puzzle / Match;;;;;0;;;;;
shanghai;Shanghai (World);MAME (Advance);;1988;Sunsoft;Puzzle / Match;;;;;0;;;;;
shanghai;Shanghai (World);MAME (Libretro);;1988;Sunsoft;Puzzle / Match;;;;;0;;;;;
shanghai;Shanghai (World);MAME (Mame4all);;1988;Sunsoft;Puzzle / Match;;;;;0;;;;;
Shanghai - Triple-Threat (USA);Shanghai - Triple-Threat (USA);Panasonic 3DO;;1994;Activision;Puzzle;;;;;0;;;;;
Shanghai (USA, Europe);Shanghai (USA, Europe);Atari Lynx;;1990;Atari;Puzzle;;;;;0;;;;;
Shanghai (USA, Europe);Shanghai (USA, Europe);Sega Master System;;1988;Sega;Puzzle;;;;;0;;;;;
Shanghai (USA);Shanghai (USA);Atari ST;;1986;Activision;Puzzle;;;;;0;;;;;
Shanghai (USA);Shanghai (USA);Commodore 64;;1986;Activision;Puzzle;;;;;0;;;;;
Shanghai (USA);Shanghai (USA);Nintendo Game Boy;;1990;HAL;Puzzle;;;;;0;;;;;
shanghss;Shanghai Shoryu Sairin (V2.03J);Arcade;;2000;Warashi;Puzzle / Match;;;;;0;;;;;
shanghss;Shanghai Shoryu Sairin (V2.03J);Final Burn Alpha;;2000;Warashi;Puzzle / Match;;;;;0;;;;;
shanghss;Shanghai Shoryu Sairin (V2.03J);MAME (Advance);;2000;Warashi;Puzzle / Match;;;;;0;;;;;
shanghss;Shanghai Shoryu Sairin (V2.03J);MAME (Libretro);;2000;Warashi;Puzzle / Match;;;;;0;;;;;
shanghss;Shanghai Shoryu Sairin (V2.03J);MAME (Mame4all);;2000;Warashi;Puzzle / Match;;;;;0;;;;;
shangtou;Shanghai Sangokuhai Tougi (Ver 2.01J);Arcade;;2002;Warashi / Sunsoft / Taito;Puzzle / Match;;;;;0;;;;;
shangtou;Shanghai Sangokuhai Tougi (Ver 2.01J);MAME (Advance);;2002;Warashi / Sunsoft / Taito;Puzzle / Match;;;;;0;;;;;
shangtou;Shanghai Sangokuhai Tougi (Ver 2.01J);MAME (Libretro);;2002;Warashi / Sunsoft / Taito;Puzzle / Match;;;;;0;;;;;
shangtou;Shanghai Sangokuhai Tougi (Ver 2.01J);MAME (Mame4all);;2002;Warashi / Sunsoft / Taito;Puzzle / Match;;;;;0;;;;;
shanhigw;Shanghai - The Great Wall / Shanghai Triple Threat (JUE 950623 V1.005);Arcade;;1995;Sunsoft / Activision;Puzzle / Match;;;;;0;;;;;
shanhigw;Shanghai - The Great Wall / Shanghai Triple Threat (JUE 950623 V1.005);Final Burn Alpha;;1995;Sunsoft / Activision;Puzzle / Match;;;;;0;;;;;
shanhigw;Shanghai - The Great Wall / Shanghai Triple Threat (JUE 950623 V1.005);MAME (Advance);;1995;Sunsoft / Activision;Puzzle / Match;;;;;0;;;;;
